,name,company,year,Price,kms_driven,fuel_type
1141,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
1142,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel
1143,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel
1144,Renault Scala RxL,Renault,2015,375000,25000,Diesel
1145,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
1146,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
1147,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
1148,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
1149,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
1150,Hyundai i20,Hyundai,2014,449999,23000,Petrol
1151,Hyundai Eon,Hyundai,2014,174999,14000,Petrol
1152,Hyundai i10,Hyundai,2012,244999,38000,Petrol
1153,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
1154,Datsun Redi GO,Datsun,2017,244999,22000,Petrol
1155,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
1156,Hyundai Accent,Hyundai,2010,99999,45000,Petrol
1157,Hyundai Verna,Hyundai,2014,489999,44000,Diesel
1158,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
1159,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel
1160,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
1161,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel
1162,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel
1163,Honda City 1.5,Honda,2010,240000,400000,Petrol
1164,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol
1165,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
1166,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
1167,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel
1168,Tata Indigo eCS,Tata,2014,250000,40000,Diesel
1169,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
1170,Force Motors Force,Force,2015,580000,3200,Diesel
1171,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel
1172,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel
1173,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol
1174,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
1175,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
1176,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
1177,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol
1178,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
1179,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel
1180,Honda City ZX,Honda,2008,149000,42000,Petrol
1181,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
1182,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel
1183,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
1184,Honda City 1.5,Honda,2010,225000,70000,Petrol
1185,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol
1186,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel
1187,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol
1188,Toyota Etios,Toyota,2011,275000,36000,Diesel
1189,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
1190,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
1191,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel
1192,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol
1193,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
1194,Tata Indigo LX,Tata,2016,130000,104000,Diesel
1195,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
1196,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol
1197,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
1198,Honda City,Honda,2000,65000,80000,Petrol
1199,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol
1200,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol
1201,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel
1202,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol
1203,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
1204,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol
1205,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
1206,Honda Jazz S,Honda,2009,169999,24695,Petrol
1207,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol
1208,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol
1209,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel
1210,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol
1211,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel
1212,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel
1213,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol
1214,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol
1215,Renault Duster 85,Renault,2015,715000,65000,Diesel
1216,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol
1217,Honda Brio V,Honda,2012,235000,33000,Petrol
1218,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel
1219,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol
1220,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel
1221,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel
1222,Nissan X Trail,Nissan,2019,1200000,300,Diesel
1223,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol
1224,Ford Ikon 1.3,Ford,2001,45000,65000,Petrol
1225,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel
1226,Tata Manza ELAN,Tata,2010,155555,111111,Petrol
1227,Mercedes Benz A,Mercedes,2013,1500000,14000,Petrol
1228,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel
1229,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel
1230,Tata Indigo LS,Tata,2016,125000,70000,Diesel
1231,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol
1232,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel
1233,Renault Kwid RXT,Renault,2015,270000,43000,Petrol
1234,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel
1235,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel
1236,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol
1237,BMW 5 Series,BMW,2011,1299000,49000,Diesel
1238,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol
1239,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel
1240,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel
1241,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
1242,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel
1243,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
1244,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
1245,Tata Nano GenX,Tata,2010,32000,44005,Petrol
1246,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
1247,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
1248,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
1249,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol
1250,Honda City SV,Honda,2017,760000,4000,Petrol
1251,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
1252,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
1253,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
1254,Honda City,Honda,2017,750000,3000,Petrol
1255,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol
1256,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
1257,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol
1258,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol
1259,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol
1260,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
1261,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
1262,Tata Indigo CS,Tata,2015,123000,100000,Diesel
1263,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
1264,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
1265,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel
1266,Honda City,Honda,2015,499999,55000,Petrol
1267,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
1268,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
1269,Tata Zest XE,Tata,2018,480000,103553,Diesel
1270,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
1271,Tata Sumo Gold,Tata,2014,250000,99000,Diesel
1272,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol
1273,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
1274,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
1275,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel
1276,Tata Tigor Revotron,Tata,2019,650000,100,Diesel
1277,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
1278,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
1279,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
1280,Honda Mobilio S,Honda,2014,399000,44000,Diesel
1281,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
1282,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel
1283,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel
1284,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
1285,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
1286,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
1287,Honda Amaze,Honda,2013,250000,55700,Diesel
1288,Tata Indica,Tata,2005,80000,42000,Petrol
1289,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
1290,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
1291,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
1292,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
1293,Honda Brio VX,Honda,2017,450000,11000,Petrol
1294,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
1295,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
1296,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
1297,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
1298,Renault Kwid RXT,Renault,2019,370000,1000,Petrol
1299,Tata Nano Lx,Tata,2010,52000,9000,Petrol
1300,Jaguar XE XE,Jaguar,2016,2800000,8500,Petrol
1301,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol
1302,Honda City 1.5,Honda,2014,499000,22000,Petrol
1303,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel
1304,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
1305,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol
1306,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol
1307,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
1308,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
1309,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol
1310,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
1311,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
1312,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
1313,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol
1314,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
1315,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
1316,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
1317,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol
1318,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
1319,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol
1320,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol
1321,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol
1322,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
1323,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel
1324,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
1325,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
1326,Audi A6 2.0,Audi,2012,1599000,11500,Diesel
1327,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
1328,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
1329,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
1330,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
1331,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol
1332,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Petrol
1333,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol
1334,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol
1335,Hyundai Santro,Hyundai,2000,51999,88000,Petrol
1336,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
1337,Chevrolet Beat PS,Chevrolet,2012,215000,65422,Diesel
1338,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol
1339,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol
1340,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel
1341,Tata Indica V2,Tata,2005,35000,150000,Diesel
1342,BMW X1 xDrive20d,BMW,2011,1150000,72000,Diesel
1343,Hyundai i20 Asta,Hyundai,2010,300000,10750,Petrol
1344,Honda City 1.5,Honda,2009,269000,55000,Petrol
1345,Tata Nano,Tata,2013,60000,6800,Petrol
1346,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel
1347,Hyundai Verna Fluidic,Hyundai,2015,430000,73000,Diesel
1348,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel
1349,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel
1350,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol
1351,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol
1352,Force Motors One,Force,2013,550000,140000,Diesel
1353,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol
1354,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol
1355,Hyundai i10,Hyundai,2009,215000,27000,Petrol
1356,Toyota Etios Liva,Toyota,2012,380000,20000,Diesel
1357,Renault Duster 85PS,Renault,2013,401919,57923,Diesel
1358,Chevrolet Enjoy,Chevrolet,2014,490000,30201,Diesel
1359,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol
1360,BMW 5 Series,BMW,2009,650000,37518,Petrol
1361,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol
1362,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel
1363,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel
1364,Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
1365,Jeep Wrangler Unlimited,Jeep,2015,950000,3528,Diesel
1366,Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
1367,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel
1368,Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
1369,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol
1370,Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel
1371,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel
1372,Tata Indigo CS,Tata,2016,150000,104000,Diesel
1373,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol
1374,Tata Indigo eCS,Tata,2014,95000,195000,Diesel
1375,Tata Indigo LX,Tata,2016,230000,104000,Diesel
1376,Tata Indigo eCS,Tata,2016,230000,104000,Diesel
1377,Tata Indigo Marina,Tata,2004,180000,70000,Diesel
1378,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel
1379,Hyundai Eon Magna,Hyundai,2013,185000,23000,Petrol
1380,Renault Duster 85,Renault,2015,385000,51000,Diesel
1381,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol
1382,Tata Nano LX,Tata,2010,32000,48008,Petrol
1383,Renault Duster 110,Renault,2013,435000,39000,Diesel
1384,Maruti Suzuki Wagon,Maruti,2010,225000,40000,Petrol
1385,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
1386,Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
1387,Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol
1388,Maruti Suzuki Alto,Maruti,2017,360000,9400,Petrol
1389,Hyundai i20 Magna,Hyundai,2010,210000,50000,Petrol
1390,Hyundai i10 Magna,Hyundai,2009,170000,75000,Petrol
1391,Tata Zest XE,Tata,2017,380000,70000,Diesel
1392,Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel
1393,Toyota Corolla Altis,Toyota,2010,185000,55000,Petrol
1394,Tata Manza Aqua,Tata,2014,160000,200000,Diesel
1395,Renault Kwid 1.0,Renault,2018,290000,2137,Petrol
1396,Tata Venture EX,Tata,2013,100000,30000,Diesel
1397,Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol
1398,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel
1399,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
1400,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel
1401,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
1402,Hyundai Verna 1.6,Hyundai,2018,855000,42000,Diesel
1403,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
1404,Mahindra Scorpio 2.6,Mahindra,2007,260000,56000,Diesel
1405,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol
1406,Maruti Suzuki Swift,Maruti,2011,255000,64000,Petrol
1407,Mahindra Scorpio SLX,Mahindra,2008,300000,70000,Diesel
1408,Hyundai Grand i10,Hyundai,2014,340000,25000,Petrol
1409,Hyundai Elite i20,Hyundai,2017,550000,15000,Petrol
1410,Ford Ikon 1.6,Ford,2003,60000,50000,Petrol
1411,Toyota Innova 2.5,Toyota,2011,750000,147000,Diesel
1412,Nissan Sunny XL,Nissan,2011,230000,52000,Petrol
1413,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel
1414,Maruti Suzuki Alto,Maruti,2017,270000,21000,Petrol
1415,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
1416,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
1417,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
1418,Toyota Innova 2.0,Toyota,2012,600000,80000,Diesel
1419,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel
1420,Hyundai Elite i20,Hyundai,2015,500000,22000,Petrol
1421,Mahindra XUV500 W10,Mahindra,2016,1065000,41000,Diesel
1422,Volkswagen Polo Trendline,Volkswagen,2015,350000,25000,Diesel
1423,Toyota Etios Liva,Toyota,2012,350000,85000,Diesel
1424,Mahindra TUV300 T4,Mahindra,2016,540000,29500,Diesel
1425,Hyundai Elite i20,Hyundai,2015,470000,30000,Petrol
1426,Hyundai Santro Xing,Hyundai,2014,179000,57000,Petrol
1427,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol
1428,Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
1429,Hyundai Eon Era,Hyundai,2013,190000,39700,Petrol
1430,Hyundai Elantra 1.8,Hyundai,2012,500000,65000,Petrol
1431,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel
1432,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol
1433,Hyundai Eon Era,Hyundai,2012,188000,38000,Petrol
1434,Hyundai Grand i10,Hyundai,2016,380000,27000,Petrol
1435,Hyundai Verna Fluidic,Hyundai,2011,365000,43000,Diesel
1436,Ford EcoSport Trend,Ford,2014,465000,47000,Petrol
1437,Hyundai i20 Magna,Hyundai,2011,240000,42000,Petrol
1438,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel
1439,Tata Indica eV2,Tata,2015,140000,60105,Diesel
1440,Jaguar XF 2.2,Jaguar,2013,2190000,29000,Diesel
1441,Audi Q5 2.0,Audi,2014,2390000,34000,Diesel
1442,BMW 3 Series,BMW,2011,1075000,35000,Diesel
1443,Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol
1444,BMW X1 sDrive20d,BMW,2012,1025000,41000,Diesel
1445,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel
1446,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
1447,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol
1448,Honda City SV,Honda,2014,475000,34000,Diesel
1449,Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,Petrol
1450,Honda City 1.5,Honda,2005,120000,68000,Petrol
1451,Audi A4 2.0,Audi,2016,1900000,44000,Diesel
1452,Mahindra KUV100,Mahindra,2017,360000,35000,Diesel
1453,Tata Zest XE,Tata,2018,450000,102563,Diesel
1454,Mahindra XUV500 W8,Mahindra,2015,900000,28600,Diesel
1455,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel
1456,Tata Sumo Gold,Tata,2014,275000,116000,Diesel
1457,Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol
1458,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
1459,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol
1460,Mitsubishi Pajero Sport,Mitsubishi,2015,1490000,42590,Diesel
1461,Renault Duster,Renault,2014,800000,7400,Diesel
1462,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel
1463,Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel
1464,Audi A4 2.0,Audi,2013,1510000,27000,Diesel
1465,Volvo S80 Summum,Volvo,2015,1850000,42000,Diesel
1466,Toyota Corolla Altis,Toyota,2014,790000,29000,Petrol
1467,Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel
1468,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Petrol
1469,BMW X1,BMW,2011,1000000,34000,Diesel
1470,Datsun Redi GO,Datsun,2018,299999,7000,Petrol
1471,Mercedes Benz C,Mercedes,2009,1225000,76000,Diesel
1472,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel
1473,Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,Diesel
1474,Tata Indigo CS,Tata,2017,270000,50000,Diesel
1475,Ford Figo Petrol,Ford,2019,525000,0,Petrol
1476,Honda City ZX,Honda,2006,180000,50000,Petrol
1477,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol
1478,Ford EcoSport Trend,Ford,2014,400000,16000,Petrol
1479,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel
1480,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol
1481,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol
1482,Renault Duster RxL,Renault,2015,550000,36000,Petrol
1483,Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol
1484,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol
1485,Honda WR V,Honda,2009,250000,60000,Petrol
1486,Tata Indigo CS,Tata,2016,110000,85000,Diesel
1487,Renault Duster 110,Renault,2013,490000,38600,Diesel
1488,Mahindra Scorpio LX,Mahindra,2009,320000,95500,Diesel
1489,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol
1490,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol
1491,Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel
1492,Audi A3 Cabriolet,Audi,2015,3100000,12516,Petrol
1493,Hyundai Eon D,Hyundai,2018,280000,35000,Petrol
1494,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
1495,Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel
1496,Hyundai Santro AE,Hyundai,2011,165000,45000,Petrol
1497,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
1498,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel
1499,Mahindra Xylo D2,Mahindra,2011,390000,48000,Diesel
1500,Hyundai Santro,Hyundai,2003,60000,51000,Petrol
1501,Chevrolet Beat LT,Chevrolet,2015,215000,90000,Diesel
1502,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel
1503,Mahindra XUV500 W8,Mahindra,2015,899000,53000,Diesel
1504,Toyota Fortuner 3.0,Toyota,2013,1499000,97000,Diesel
1505,Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol
1506,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol
1507,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel
1508,Hyundai Creta 1.6,Hyundai,2019,1200000,0,Petrol
1509,Hyundai Santro Xing,Hyundai,2007,115000,46000,Petrol
1510,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol
1511,Mahindra Xylo D2,Mahindra,2011,390000,56000,Diesel
1512,Hyundai Santro Xing,Hyundai,2007,135000,42000,Petrol
1513,Tata Indica V2,Tata,2009,90000,30600,Diesel
1514,Hyundai i10 Sportz,Hyundai,2011,220000,38000,Petrol
1515,Hyundai Grand i10,Hyundai,2017,424999,2550,Petrol
1516,Hyundai Santro Xing,Hyundai,2007,135000,47000,Petrol
1517,Honda City 1.5,Honda,2005,95000,41000,Petrol
1518,Nissan Micra XL,Nissan,2017,430000,62500,Diesel
1519,Honda City 1.5,Honda,2005,115000,68000,Petrol
1520,Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol
1521,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol
1522,Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
1523,Tata Indica eV2,Tata,2012,85000,55000,Diesel
1524,Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol
1525,Hyundai Eon Era,Hyundai,2014,200000,28400,Petrol
1526,Hyundai Eon,Hyundai,2014,200000,28000,Petrol
1527,Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel
1528,Hyundai Verna 1.6,Hyundai,2012,600000,29000,Diesel
1529,Chevrolet Tavera LS,Chevrolet,2005,130000,68485,Diesel
1530,Tata Tiago Revotron,Tata,2018,430000,3500,Petrol
1531,Tata Tiago Revotorq,Tata,2019,568500,0,Petrol
1532,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol
1533,Mahindra KUV100 K8,Mahindra,2018,560000,8000,Diesel
1534,Ford EcoSport Titanium,Ford,2014,590000,34000,Diesel
1535,Hindustan Motors Ambassador,Hindustan,1995,750000,37000,Petrol
1536,Ford Fusion 1.4,Ford,2007,125000,85455,Diesel
1537,Hyundai Santro Xing,Hyundai,2007,135000,46000,Petrol
1538,Hyundai Santro,Hyundai,2002,60000,47000,Petrol
1539,Fiat Linea Emotion,Fiat,2009,120000,64000,Petrol
1540,Ford Ikon 1.3,Ford,2008,95000,46000,Petrol
1541,Maruti Suzuki Omni,Maruti,2017,240000,8000,Petrol
1542,Tata Indica V2,Tata,2012,115000,64000,Diesel
1543,Mahindra Scorpio S4,Mahindra,2015,795000,63000,Diesel
1544,Hyundai Santro Xing,Hyundai,2007,55000,65000,Petrol
1545,Mahindra Xylo D2,Mahindra,2009,300000,62000,Diesel
1546,Hyundai Grand i10,Hyundai,2014,320000,41000,Petrol
1547,Maruti Suzuki Alto,Maruti,2015,265000,14000,Petrol
1548,Toyota Corolla,Toyota,2006,160000,40000,Petrol
